# Generated by tools/nelisp-emacs-compat.el -- do not edit.
# Regenerate: make emacs-compat-table
# emacs 30.1, 8872 names
#
# nelisp-only       stock Emacs does not have this name
# shared-deferring  both have it; this tree defers via (unless (fboundp ...))
# shared-shadowing  both have it; this tree defines it unconditionally

nelisp-only      nelisp--number-to-string-float
nelisp-only      nelisp--parse-cl-formals
nelisp-only      nelisp--parse-let-binding
nelisp-only      nelisp--pending-processes
nelisp-only      nelisp--primitive-symbols
nelisp-only      nelisp--prn-chunks-add
nelisp-only      nelisp--prn-chunks-string
nelisp-only      nelisp--prn-float
nelisp-only      nelisp--prn-list-body
nelisp-only      nelisp--prn-reader-macro-abbrev
nelisp-only      nelisp--prn-record
nelisp-only      nelisp--prn-string-escaped
nelisp-only      nelisp--prn-symbol-char-needs-escape-p
nelisp-only      nelisp--prn-symbol-escaped
nelisp-only      nelisp--prn-to-string
nelisp-only      nelisp--prn-vector
nelisp-only      nelisp--process-props
nelisp-only      nelisp--process-status-symbol
nelisp-only      nelisp--random-state
nelisp-only      nelisp--rd-atom-end
nelisp-only      nelisp--rd-numeric-token-p
nelisp-only      nelisp--rd-one
nelisp-only      nelisp--rd-skip-ws
nelisp-only      nelisp--rd-symbol-unescape
nelisp-only      nelisp--rd-unescape
nelisp-only      nelisp--read--consumed-end-in-sub
nelisp-only      nelisp--read-all-from-string
nelisp-only      nelisp--read-all-from-string-impl
nelisp-only      nelisp--read-all-with-line-from-string-impl
nelisp-only      nelisp--read-from-string-impl
nelisp-only      nelisp--read-next-token
nelisp-only      nelisp--read-parse-error
nelisp-only      nelisp--read-parse-list
nelisp-only      nelisp--read-parse-one
nelisp-only      nelisp--read-parse-prefix
nelisp-only      nelisp--read-parse-record
nelisp-only      nelisp--read-parse-vector
nelisp-only      nelisp--read-tok-atom
nelisp-only      nelisp--read-tok-atom-terminator-p
nelisp-only      nelisp--read-tok-bump
nelisp-only      nelisp--read-tok-char-literal
nelisp-only      nelisp--read-tok-digit-p
nelisp-only      nelisp--read-tok-error
nelisp-only      nelisp--read-tok-hex-digit
nelisp-only      nelisp--read-tok-make
nelisp-only      nelisp--read-tok-peek
nelisp-only      nelisp--read-tok-peek-at
nelisp-only      nelisp--read-tok-radix-int
nelisp-only      nelisp--read-tok-sharpsign
nelisp-only      nelisp--read-tok-skip-ws-comments
nelisp-only      nelisp--read-tok-snapshot-pos
nelisp-only      nelisp--read-tok-state
nelisp-only      nelisp--read-tok-string
nelisp-only      nelisp--read-tok-strip-underscores
nelisp-only      nelisp--read-tok-text-float-shape-p
nelisp-only      nelisp--read-tok-text-has-fp-marker-p
nelisp-only      nelisp--read-tok-try-float
nelisp-only      nelisp--read-tok-try-int
nelisp-only      nelisp--read-tok-whitespace-p
nelisp-only      nelisp--read-tok-with-end
nelisp-only      nelisp--read-tokenize
nelisp-only      nelisp--readdir-scan-raw
nelisp-only      nelisp--record-length
nelisp-only      nelisp--record-ref
nelisp-only      nelisp--record-set
nelisp-only      nelisp--record-type
nelisp-only      nelisp--ref-eq
nelisp-only      nelisp--reset
nelisp-only      nelisp--restore-dynamic
nelisp-only      nelisp--setf-1
nelisp-only      nelisp--setf-place-macro-p
nelisp-only      nelisp--shim-boundp
nelisp-only      nelisp--shim-defalias
nelisp-only      nelisp--shim-fboundp
nelisp-only      nelisp--shim-fmakunbound
nelisp-only      nelisp--shim-fset
nelisp-only      nelisp--shim-makunbound
nelisp-only      nelisp--shim-set
nelisp-only      nelisp--shim-symbol-function
nelisp-only      nelisp--shim-symbol-value
nelisp-only      nelisp--signal-arith
nelisp-only      nelisp--signal-wrong-type
nelisp-only      nelisp--source-pos-col
nelisp-only      nelisp--source-pos-line
nelisp-only      nelisp--specials
nelisp-only      nelisp--split-binding
nelisp-only      nelisp--split-on-char
nelisp-only      nelisp--split-on-literal
